text,lat,lon
🏾,38.57320528493262,-121.60667171506738
👇,38.566702741649664,-121.61317425835034
🏼,26.53483242555174,-79.92779917444825
🙏,26.636975561170296,-79.8256560388297
🔥,40.631962140560894,-73.93377515943911
🌺,41.50932359871199,-73.05641370128802
🔥,34.96497766792127,-85.41580953207873
⚡,35.0135378137107,-85.3672493862893
🎰,36.7207516906037,-114.5598612093963
🏾,36.90715293136145,-114.37345996863856
☝,39.66827322248223,-77.44433847751776
❌,39.25584217911302,-77.85676952088698
🎄,46.452529677583584,-121.75486832241641
💖,45.611914574661405,-122.5954834253386
😂,30.416908089951615,-88.82220731004838
💯,31.36004852919525,-87.87906687080475
😍,42.40498955509137,-87.23004960490863
🎄,42.36531640157149,-87.26972275842851
🔥,41.01754649102225,-73.80582703897775
🎄,41.75374761770548,-73.06962591229453
💜,48.535779797539035,-121.44082020246097
🔥,48.209062415547535,-121.76753758445247
🦅,40.566672191323946,-74.57612780867605
🙏,40.206485448670804,-74.9363145513292
💜,37.069087363965195,-85.8550818260348
🏋,36.75775831351498,-86.16641087648503
👾,30.04306061917186,-95.10303938082814
☕,29.942526745158148,-95.20357325484186
❤,30.694362567613734,-90.76187173238627
💪,30.37189544686668,-91.08433885313332
🔥,40.08477082757646,-104.61472917242354
😋,40.300474109143245,-104.39902589085675
💯,42.44102596878187,-85.43790953121814
📦,42.7058971968947,-85.1730383031053
😍,33.81940933659158,-111.71290066340842
😴,33.88909400559549,-111.6432159944045
🏼,43.20879647862338,-72.43148130137662
♀,42.874103013065664,-72.76617476693434
❤,41.78830628068601,-110.97933371931398
🏰,40.990420622795654,-111.77721937720435
🌞,45.51781298219409,-92.5258477178059
❤,45.80169032170437,-92.24197037829563
✈,39.429276302440094,-93.9903094775599
🤙,39.74508395841694,-93.67450182158305
📈,39.815346965841954,-76.08251852415805
😍,39.331446937853165,-76.56641855214684
💯,42.084258068838274,-80.90814163116173
👀,42.015574086635446,-80.97682561336455
🏿,33.31698958120694,-87.46301041879305
💙,33.995867971661816,-86.78413202833818
😂,42.09779053230789,-85.81740356769211
💯,42.21898782359557,-85.69620627640444
🎄,39.76440119283808,-76.47235390716192
❤,39.81915855923329,-76.41759654076672
🏾,36.09902431385276,-75.59783038614725
🏽,36.287099284438554,-75.40975541556145
🔥,44.004287864103965,-89.39691213589605
🎶,43.68903490942392,-89.7121650905761
❤,42.71704378718707,-70.49731579281293
🌲,42.42282898925774,-70.79153059074225
🙂,44.54477453157586,-102.73522546842413
👂,39.835593945459536,-93.78520605454047
😎,39.68107375531816,-93.93972624468184
☺,42.573773325148565,-71.90997567485144
❤,42.72659201461025,-71.75715698538976
🎄,37.09374345190751,-86.3555827480925
🎁,37.274125096353266,-86.17520110364674
😉,35.87000724779259,-81.28281897220742
🦁,35.69283499923178,-81.45999122076823
😂,36.9556885246029,-93.77294417539711
💞,36.460009347181206,-94.2686233528188
❤,42.89225998399969,-71.34067221600031
⚡,42.80422197255315,-71.42871022744686
🙇,35.533002671851996,-97.502117328148
♂,35.96395951876528,-97.07116048123471
🎨,42.25168041140231,-93.0458195885977
🍷,42.546511082540945,-92.75098891745905
